1;-0.000363587;0.000116064;9.94838e-05;-0.000363587;0.000116065;9.9484e-05;0.0349769;0.0347455;0.0352594;0.0349769;0.0347456;0.0352595;0.808667;0.808665;0.808666;0.808667;0.808665;0.808666;0;0;0;0;0;0;
2;-0.0120353;-0.0137383;-0.0275268;0.0226521;0.024742;0.0130651;-0.0776011;-0.0798494;0.111492;0.0316961;0.0338503;-0.070087;0.472434;0.472433;0.472318;0.472415;0.472418;0.472407;0;0;1;0.0669179;0.139029;0;
3;-0.00660307;-0.00844788;-0.0661801;0.0434405;0.0415479;0.0191493;-0.0452351;-0.0467179;0.187521;0.137835;0.165728;0.0683375;0.2759;0.2759;0.275867;0.275911;0.275919;0.275912;0;0;0;0.319986;0.16031;0.680748;
4;-0.00162779;-0.00324351;-0.0800093;0.0512475;0.0507194;0.0263993;-0.0264454;-0.0272574;0.201652;0.156823;0.184413;0.0955183;0.161124;0.161123;0.235991;0.173155;0.191571;0.214408;0;0;0.631325;0.543493;0.48959;1;
5;-7.45695e-05;-0.00325606;-0.0895527;0.054276;0.0548548;0.0291417;-0.0157009;-0.0156644;0.203449;0.145844;0.173662;0.0863258;0.0940949;0.0940947;0.250867;0.14326;0.169818;0.200835;0;0;0.64235;0.408447;0.4492;1;
6;0.00106377;-0.00365274;-0.100787;0.0579782;0.0594882;0.032219;-0.0101398;-0.00849141;0.208177;0.129645;0.16113;0.0817932;0.0549504;0.0549503;0.253039;0.128882;0.159704;0.190924;0;0;0.665116;0.408406;0.471849;0.95639;
7;0.00186446;-0.00399044;-0.10452;0.0575765;0.0588616;0.0312045;-0.0148773;-0.00899822;0.212313;0.120766;0.15178;0.0773727;0.0320903;0.0320903;0.254268;0.123775;0.156296;0.182168;0;0;0.672592;0.357642;0.434647;0.899033;
8;0.00195318;-0.00363242;-0.10599;0.0565324;0.0574022;0.0296837;-0.0153017;-0.00511195;0.213109;0.118183;0.147713;0.0779601;0.0187402;0.0187402;0.255025;0.119117;0.152958;0.170939;0;0;0.698327;0.342038;0.442712;0.882744;
9;0.000260563;-0.00265984;-0.106163;0.0555717;0.0558766;0.028301;-0.0169245;-7.64485e-05;0.210897;0.119607;0.146548;0.0805154;0.0109438;0.0109438;0.256762;0.113612;0.149606;0.159884;0;0;0.751981;0.347537;0.459499;0.876189;
10;-0.000743206;-0.000658198;-0.106205;0.054907;0.0548337;0.0275057;-0.0216713;0.0029968;0.210382;0.120295;0.14404;0.0823536;0.0063908;0.00639074;0.255065;0.109963;0.149256;0.151467;0;0;0.814088;0.319805;0.468343;0.861385;
11;-0.00408018;0.00326154;-0.10671;0.0550617;0.0544191;0.0274638;-0.0254485;0.00725711;0.209422;0.121065;0.142023;0.0847735;0.00373188;0.00373181;0.252743;0.106333;0.148916;0.143798;0;0;0.882525;0.335227;0.495776;0.852518;
12;-0.0106827;0.0102044;-0.10766;0.0557235;0.0541327;0.0278088;-0.0293677;0.0108486;0.208974;0.121511;0.139729;0.0864874;0.00217909;0.002179;0.250057;0.102421;0.148485;0.137257;0;0;0.949763;0.362293;0.517929;0.844877;
13;-0.0216968;0.0214173;-0.110366;0.05727;0.0546888;0.029213;-0.0306245;0.0112715;0.209439;0.121236;0.138316;0.08812;0.00127228;0.00127218;0.244514;0.098476;0.14731;0.132893;0;0;1;0.392395;0.528937;0.850533;
14;-0.0381675;0.038004;-0.120195;0.0644069;0.060703;0.035534;-0.0253882;0.00784357;0.212025;0.116036;0.136709;0.0888669;0.000742718;0.000742607;0.236675;0.0862459;0.138442;0.130466;0;0;0.711442;0.510176;0.546947;0.890772;
15;-0.0603714;0.0602756;-0.133162;0.0728931;0.067831;0.0430932;-0.015963;-0.012368;0.223067;0.100323;0.130793;0.0790417;0.000433445;0.000433344;0.228266;0.0738301;0.123627;0.133769;0;0;0.75694;0.647947;0.454394;0.911777;
16;-0.0867734;0.0867172;-0.150851;0.0833468;0.0775311;0.0526714;0.00211173;-0.0263691;0.239976;0.0746466;0.125915;0.0658974;0.000252806;0.000252827;0.215624;0.0647071;0.101242;0.139642;0;0;0.769082;0.616947;0.276538;0.989026;
17;-0.113141;0.108263;-0.149264;0.0938026;0.0402067;0.0638416;0.0341103;-0.0460822;0.265074;0.0464733;0.132512;0.0403741;0.000147265;0.0213307;0.190695;0.0854273;0.0591358;0.160011;0;0.310586;0.712609;0.762715;0.144457;1;
18;-0.132814;0.120399;-0.143329;0.121432;-0.043259;0.0993693;0.0814853;-0.0616572;0.294245;0.00872225;0.137394;0.0205757;8.56348e-05;0.056162;0.144527;0.112046;0.0345347;0.187321;0;0.483966;0.780099;0.805307;0.0685226;1;
19;-0.13832;0.0975059;-0.150965;0.148419;-0.0860203;0.117928;0.13537;-0.0599788;0.331605;-0.0513363;0.168021;-0.0245914;4.95958e-05;0.107784;0.140349;0.123286;0.0201676;0.207904;0;0.666212;0.635736;0.722996;0;1;
20;-0.123572;0.0940524;-0.148903;0.139726;-0.093029;0.111363;0.18118;-0.0613166;0.348398;-0.0764054;0.200248;-0.0424526;2.85071e-05;0.11802;0.136208;0.148601;0.0117773;0.212298;0;0.921174;0.478951;0.614295;0;1;
21;-0.0843884;0.0743565;-0.139877;0.101701;-0.0665517;0.0772576;0.21213;-0.0629898;0.346031;-0.0831005;0.223266;-0.0526131;1.62128e-05;0.127692;0.133511;0.150159;0.00687736;0.195128;0;1;0.0346119;0.50697;0;1;
